MAX_SEQ_LEN,Batch Size,Learning Rate,Num Epochs,Final Val Loss,Final Val Acc,Training Time (s)
10,16,0.001,100,0.020140592341953426,0.9927113702623906,9.118987798690796
10,16,0.0001,100,0.04335664071647705,0.9912536443148688,8.912459373474121
10,16,1e-05,100,0.2441765072568165,0.9329446064139941,8.959765434265137
10,32,0.001,100,0.027653133211543366,0.9912536443148688,4.947217226028442
10,32,0.0001,100,0.04939391303253591,0.9912536443148688,4.866926193237305
10,32,1e-05,100,0.3458939017429296,0.9037900874635568,5.069293975830078
10,64,0.001,100,0.038383182670388906,0.9927113702623906,3.0946078300476074
10,64,0.0001,100,0.05889800136621075,0.9897959183673469,3.0322105884552
10,64,1e-05,100,0.5690873169690458,0.8425655976676385,3.0890893936157227
20,16,0.001,100,0.07674183646271228,0.9941348973607038,4.654797315597534
20,16,0.0001,100,0.05024438080872215,0.9970674486803519,4.5031468868255615
20,16,1e-05,100,0.3515167403256089,0.9296187683284457,4.45845627784729
20,32,0.001,100,0.07275915993691649,0.9970674486803519,2.5366785526275635
20,32,0.0001,100,0.06670147851327997,0.9970674486803519,2.4232218265533447
20,32,1e-05,100,0.4982302732481635,0.8299120234604106,2.55043363571167
20,64,0.001,100,0.07588236849711351,0.9970674486803519,1.6463103294372559
20,64,0.0001,100,0.06749392541185502,0.9970674486803519,1.6398727893829346
20,64,1e-05,100,0.6207054942584108,0.8181818181818182,1.6332697868347168
30,16,0.001,100,0.10457431074908877,0.9868995633187773,3.031055450439453
30,16,0.0001,100,0.11552057000422061,0.982532751091703,3.065838575363159
30,16,1e-05,100,0.49513163485901845,0.925764192139738,3.117863178253174
30,32,0.001,100,0.10025273361619497,0.9868995633187773,1.8223240375518799
30,32,0.0001,100,0.1429455058982669,0.982532751091703,1.7870824337005615
30,32,1e-05,100,0.5575196823698985,0.7816593886462883,1.7947547435760498
30,64,0.001,100,0.13173734557339067,0.9868995633187773,1.1553001403808594
30,64,0.0001,100,0.20099901760964936,0.9781659388646288,1.1110484600067139
30,64,1e-05,100,0.8908362732183465,0.7947598253275109,1.0923957824707031
