MAX_SEQ_LEN,Batch Size,Learning Rate,Num Epochs,Final Val Loss,Final Val Acc,Training Time (s)
10,16,0.001,100,0.007879367642275686,0.9985422740524781,8.921259880065918
10,16,0.0001,100,0.02471697013268557,0.9927113702623906,8.7885582447052
10,16,1e-05,100,0.21926499364501187,0.9606413994169096,8.819247245788574
10,32,0.001,100,0.008087740130736099,0.9956268221574344,5.019668102264404
10,32,0.0001,100,0.03689000747945844,0.9927113702623906,4.965283632278442
10,32,1e-05,100,0.41871513248185027,0.9096209912536443,5.0093467235565186
10,64,0.001,100,0.012078122504641988,0.9912536443148688,3.0333821773529053
10,64,0.0001,100,0.06000805754790153,0.9912536443148688,3.016497850418091
10,64,1e-05,100,0.5255979804360137,0.7842565597667639,3.041914939880371
20,16,0.001,100,0.015197886225065528,0.9941348973607038,4.519207954406738
20,16,0.0001,100,0.027852166516438695,0.9970674486803519,4.534297227859497
20,16,1e-05,100,0.352853647337631,0.9208211143695014,4.480136394500732
20,32,0.001,100,0.015824505649274897,0.9941348973607038,2.600038528442383
20,32,0.0001,100,0.040850119490471404,0.9970674486803519,2.5771231651306152
20,32,1e-05,100,0.5048860926781932,0.9120234604105572,2.554107904434204
20,64,0.001,100,0.017416800355232836,0.9941348973607038,1.6061270236968994
20,64,0.0001,100,0.06121110083682796,0.9912023460410557,1.565101146697998
20,64,1e-05,100,0.6976827122598799,0.8035190615835777,1.6251769065856934
30,16,0.001,100,0.026622511782377397,0.9956331877729258,3.09936785697937
30,16,0.0001,100,0.03610245797246304,0.9956331877729258,3.0870425701141357
30,16,1e-05,100,0.4436031607300954,0.9039301310043668,3.096360445022583
30,32,0.001,100,0.020603809004962673,0.9956331877729258,1.8042895793914795
30,32,0.0001,100,0.06069099810381123,0.9912663755458515,1.780742883682251
30,32,1e-05,100,0.6081362833883044,0.759825327510917,1.7835097312927246
30,64,0.001,100,0.02220960706472397,0.9956331877729258,1.1130664348602295
30,64,0.0001,100,0.0923245165610938,0.9868995633187773,1.1107323169708252
30,64,1e-05,100,0.8478479132902154,0.8078602620087336,1.09726881980896
